"model_id","datetime","variable","horizon","prediction","param_set","epochs","dropout","num_layers","hidden_feature_size","weight_decay"
"LSTM",2018-10-07,"chlorophyll-a",0,7.42418098449707,154,200,0.002,1,8,5e-04
"LSTM",2018-10-08,"chlorophyll-a",0,7.47524166107178,154,200,0.002,1,8,5e-04
"LSTM",2018-10-09,"chlorophyll-a",0,7.6443338394165,154,200,0.002,1,8,5e-04
"LSTM",2018-10-10,"chlorophyll-a",0,7.64971446990967,154,200,0.002,1,8,5e-04
"LSTM",2018-10-11,"chlorophyll-a",0,7.51644229888916,154,200,0.002,1,8,5e-04
"LSTM",2018-10-12,"chlorophyll-a",0,5.57355785369873,154,200,0.002,1,8,5e-04
"LSTM",2018-10-13,"chlorophyll-a",0,5.08994913101196,154,200,0.002,1,8,5e-04
"LSTM",2018-10-14,"chlorophyll-a",0,4.64755296707153,154,200,0.002,1,8,5e-04
"LSTM",2018-10-15,"chlorophyll-a",0,3.98367738723755,154,200,0.002,1,8,5e-04
"LSTM",2018-10-16,"chlorophyll-a",0,3.54268169403076,154,200,0.002,1,8,5e-04
"LSTM",2018-10-17,"chlorophyll-a",0,3.32691526412964,154,200,0.002,1,8,5e-04
"LSTM",2018-10-18,"chlorophyll-a",0,3.29446649551392,154,200,0.002,1,8,5e-04
"LSTM",2018-10-19,"chlorophyll-a",0,3.4312219619751,154,200,0.002,1,8,5e-04
"LSTM",2018-10-20,"chlorophyll-a",0,3.5111870765686,154,200,0.002,1,8,5e-04
"LSTM",2018-10-21,"chlorophyll-a",0,3.52083587646484,154,200,0.002,1,8,5e-04
"LSTM",2018-10-22,"chlorophyll-a",0,4.02129650115967,154,200,0.002,1,8,5e-04
"LSTM",2018-10-23,"chlorophyll-a",0,4.39199686050415,154,200,0.002,1,8,5e-04
"LSTM",2018-10-24,"chlorophyll-a",0,4.77539825439453,154,200,0.002,1,8,5e-04
"LSTM",2018-10-25,"chlorophyll-a",0,5.14556837081909,154,200,0.002,1,8,5e-04
"LSTM",2018-10-26,"chlorophyll-a",0,5.31032371520996,154,200,0.002,1,8,5e-04
"LSTM",2018-10-27,"chlorophyll-a",0,5.14789962768555,154,200,0.002,1,8,5e-04
"LSTM",2018-10-28,"chlorophyll-a",0,5.11417293548584,154,200,0.002,1,8,5e-04
"LSTM",2018-10-29,"chlorophyll-a",0,5.21184539794922,154,200,0.002,1,8,5e-04
"LSTM",2018-10-30,"chlorophyll-a",0,5.43006229400635,154,200,0.002,1,8,5e-04
"LSTM",2018-10-31,"chlorophyll-a",0,5.68873596191406,154,200,0.002,1,8,5e-04
"LSTM",2018-11-01,"chlorophyll-a",0,5.71841335296631,154,200,0.002,1,8,5e-04
