"model_id","datetime","variable","prediction"
"DOY",2019-08-13,"chlorophyll-a",11.5193080853016
"DOY",2019-08-14,"chlorophyll-a",11.3601608443034
"DOY",2019-08-15,"chlorophyll-a",11.196584598034
"DOY",2019-08-16,"chlorophyll-a",11.0291649705297
"DOY",2019-08-17,"chlorophyll-a",10.8584875858266
"DOY",2019-08-18,"chlorophyll-a",10.6851380679611
"DOY",2019-08-19,"chlorophyll-a",10.5097020409693
"DOY",2019-08-20,"chlorophyll-a",10.3327651288876
"DOY",2019-08-21,"chlorophyll-a",10.154912955752
"DOY",2019-08-22,"chlorophyll-a",9.97673114559902
"DOY",2019-08-23,"chlorophyll-a",9.7988053224647
"DOY",2019-08-24,"chlorophyll-a",9.62172111038534
"DOY",2019-08-25,"chlorophyll-a",9.44606413339718
"DOY",2019-08-26,"chlorophyll-a",9.27242001553645
"DOY",2019-08-27,"chlorophyll-a",9.1013743808394
"DOY",2019-08-28,"chlorophyll-a",8.93351285334225
"DOY",2019-08-29,"chlorophyll-a",8.76942105708126
"DOY",2019-08-30,"chlorophyll-a",8.60968461609266
"DOY",2019-08-31,"chlorophyll-a",8.45488915441268
"DOY",2019-09-01,"chlorophyll-a",8.30562029607756
"DOY",2019-09-02,"chlorophyll-a",8.16243318607716
"DOY",2019-09-03,"chlorophyll-a",8.02552865048707
"DOY",2019-09-04,"chlorophyll-a",7.89487892253498
"DOY",2019-09-05,"chlorophyll-a",7.77045242556777
"DOY",2019-09-06,"chlorophyll-a",7.65221758293233
"DOY",2019-09-07,"chlorophyll-a",7.54014281797556
"DOY",2019-09-08,"chlorophyll-a",7.43419655404433
"DOY",2019-09-09,"chlorophyll-a",7.33434721448554
"DOY",2019-09-10,"chlorophyll-a",7.24056322264608
"DOY",2019-09-11,"chlorophyll-a",7.15281300187283
"DOY",2019-09-12,"chlorophyll-a",7.07106497551268
"DOY",2019-09-13,"chlorophyll-a",6.99528756691252
"DOY",2019-09-14,"chlorophyll-a",6.92544919941924
"DOY",2019-09-15,"chlorophyll-a",6.86151829637973
"DOY",2019-09-16,"chlorophyll-a",6.80346328114087
"DOY",2019-09-17,"chlorophyll-a",6.75125257704955
"DOY",2019-09-18,"chlorophyll-a",6.70485460745267
"DOY",2019-09-19,"chlorophyll-a",6.6642377956971
"DOY",2019-09-20,"chlorophyll-a",6.62937056512974
"DOY",2019-09-21,"chlorophyll-a",6.60022133909748
"DOY",2019-09-22,"chlorophyll-a",6.5767585409472
"DOY",2019-09-23,"chlorophyll-a",6.55895059402579
"DOY",2019-09-24,"chlorophyll-a",6.54676592168014
"DOY",2019-09-25,"chlorophyll-a",6.54017294725715
"DOY",2019-09-26,"chlorophyll-a",6.53914009410369
"DOY",2019-09-27,"chlorophyll-a",6.54363578556665
"DOY",2019-09-28,"chlorophyll-a",6.55362844499292
"DOY",2019-09-29,"chlorophyll-a",6.5690864957294
"DOY",2019-09-30,"chlorophyll-a",6.58997836112296
"DOY",2019-10-01,"chlorophyll-a",6.61627246452051
"DOY",2019-10-02,"chlorophyll-a",6.64793722926892
"DOY",2019-10-03,"chlorophyll-a",6.68494107871508
"DOY",2019-10-04,"chlorophyll-a",6.72725243620588
"DOY",2019-10-05,"chlorophyll-a",6.77483972508822
"DOY",2019-10-06,"chlorophyll-a",6.82767136870897
"DOY",2019-10-07,"chlorophyll-a",6.88571579041503
"DOY",2019-10-08,"chlorophyll-a",6.94894141355329
"DOY",2019-10-09,"chlorophyll-a",7.01731666147063
"DOY",2019-10-10,"chlorophyll-a",7.09080995751394
"DOY",2019-10-11,"chlorophyll-a",7.16938972503011
"DOY",2019-10-12,"chlorophyll-a",7.25302432111235
"DOY",2019-10-13,"chlorophyll-a",7.34161611419306
"DOY",2019-10-14,"chlorophyll-a",7.43487765592428
"DOY",2019-10-15,"chlorophyll-a",7.53248757607619
"DOY",2019-10-16,"chlorophyll-a",7.63412450441896
"DOY",2019-10-17,"chlorophyll-a",7.73946707072278
"DOY",2019-10-18,"chlorophyll-a",7.84819390475781
"DOY",2019-10-19,"chlorophyll-a",7.95998363629424
"DOY",2019-10-20,"chlorophyll-a",8.07451489510223
"DOY",2019-10-21,"chlorophyll-a",8.19146631095198
"DOY",2019-10-22,"chlorophyll-a",8.31051651361365
"DOY",2019-10-23,"chlorophyll-a",8.43134413285742
"DOY",2019-10-24,"chlorophyll-a",8.55362779845346
"DOY",2019-10-25,"chlorophyll-a",8.67704614017196
"DOY",2019-10-26,"chlorophyll-a",8.80127778778309
"DOY",2019-10-27,"chlorophyll-a",8.92600137105702
"DOY",2019-10-28,"chlorophyll-a",9.05089551976394
"DOY",2019-10-29,"chlorophyll-a",9.17563886367402
"DOY",2019-10-30,"chlorophyll-a",9.29991003255743
"DOY",2019-10-31,"chlorophyll-a",9.42338765618435
"DOY",2019-11-01,"chlorophyll-a",9.54575036432497
"DOY",2019-11-02,"chlorophyll-a",9.66667678674945
"DOY",2019-11-03,"chlorophyll-a",9.78584555322797
"DOY",2019-11-04,"chlorophyll-a",9.90293529353072
"DOY",2019-11-05,"chlorophyll-a",10.0176246374279
"DOY",2019-11-06,"chlorophyll-a",10.1295922146896
"DOY",2019-11-07,"chlorophyll-a",10.238516655086
"DOY",2019-11-08,"chlorophyll-a",10.3440765883874
"DOY",2019-11-09,"chlorophyll-a",10.4459506443639
"DOY",2019-11-10,"chlorophyll-a",10.5438174527857
"DOY",2019-11-11,"chlorophyll-a",10.6373556434229
"DOY",2019-11-12,"chlorophyll-a",10.7262438460457
"DOY",2019-11-13,"chlorophyll-a",10.8101606904244
"DOY",2019-11-14,"chlorophyll-a",10.888784806329
"DOY",2019-11-15,"chlorophyll-a",10.9617948235298
"DOY",2019-11-16,"chlorophyll-a",11.028869371797
"DOY",2019-11-17,"chlorophyll-a",11.0896870809006
